Name,picture_link,Wikipedia_Link,division,rating,bouts,rounds,KOs,Career,Debut,vada,titles,ID,Birth Name,sex,Alias,Age,Nationality,Stance,Height,Reach,Residence,Birth Place,Win,Lose,Draw
Giovanni Cabrera,https://boxrec.com/images/thumb/6/6b/756050a.jpg/200px-756050a.jpg,https://boxrec.com/wiki/index.php?title=Fight:2995591,light,5.0,22,135,33.33%,2016-2023,2016-04-22,,,756050,Giovanni Cabrera Mioletti,male,,29,USA,orthodox,5′ 9″   /   175cm,71″   /   180cm,"Chicago, Illinois, USA","Seattle, Washington, USA",21,1,0
Lindolfo Delgado,https://boxrec.com/images/thumb/5/56/791797.jpg/200px-791797.jpg,https://boxrec.com/wiki/index.php?title=Fight:3038264,super light,5.0,19,88,73.68%,2017-2023,2017-04-09,,,791797,Lindolfo Delgado Garza,male,,29,Mexico,orthodox,5′ 9″   /   175cm,68″   /   173cm,"Monterrey, Nuevo León, Mexico","Linares, Nuevo León, Mexico",19,0,0
Yuna Hara,https://boxrec.com/images/thumb/d/dd/Yuna_Hara.JPG/200px-Yuna_Hara.JPG,https://boxrec.com/wiki/index.php?title=Fight:3114772,super feather,5.0,17,66,57.14%,2015-2023,2015-03-04,,,713227,原優奈,male,,29,Japan,orthodox,5′ 9½″   /   176cm,,"Kobe, Hyogo, Japan","Osaka, Osaka, Japan",14,2,1
Gabriel Gollaz Valenzuela,https://boxrec.com/images/thumb/7/70/729819.jpg/200px-729819.jpg,https://boxrec.com/wiki/index.php?title=Fight:3038614,super light,5.0,32,164,60.71%,2015-2023,2015-07-24,,,729819,Gabriel Gollaz Valenzuela,male,,29,Mexico,orthodox,5′ 10″   /   178cm,73″   /   185cm,"Guadalajara, Jalisco, Mexico","Guadalajara, Jalisco, Mexico",28,3,1
Adrian Curiel,https://boxrec.com/images/thumb/b/ba/763657_2023.jpg/200px-763657_2023.jpg,https://boxrec.com/wiki/index.php?title=Fight:3093162,light fly,5.0,29,190,20.83%,2016-2023,2016-03-18,,IBF World Light Fly,763657,Adrian Curiel Dominguez,male,Adrian 'Gatito' Curiel,25,Mexico,,,,"Mexico City, Distrito Federal, Mexico",,24,4,1
Meiirim Nursultanov,https://boxrec.com/images/thumb/f/fa/Meiirim2022.jpeg/200px-Meiirim2022.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3067307,middle,5.0,20,120,55%,2016-2023,2016-11-19,,,778622,,male,,30,Kazakhstan,orthodox,6′ 0″   /   183cm,,"Oxnard, California, USA","Ayagoz, Kazakhstan",20,0,0
Jin Sasaki,https://boxrec.com/images/thumb/e/e4/Jin_Sasaki_2.JPG/200px-Jin_Sasaki_2.JPG,https://boxrec.com/wiki/index.php?title=Fight:2972120,welter,5.0,18,63,93.75%,2018-2023,2018-08-24,,,847229,佐々木尽,male,,22,Japan,orthodox,5′ 8½″   /   174cm,,"Hachioji, Tokyo, Japan","Hachioji, Tokyo, Japan",16,1,1
Yordenis Ugas,https://boxrec.com/images/thumb/6/69/541777.jpeg/200px-541777.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3027127,welter,5.0,33,230,44.44%,2010-2023,2010-07-09,,,541777,Yordenis Ugas Hernandez,male,54 Milagros,37,Cuba,orthodox,5′ 9″   /   175cm,69″   /   175cm,"Miami, Florida, USA","Santiago de Cuba, Cuba",27,6,0
Phumelele Cafu,https://boxrec.com/images/thumb/5/57/Cafu.jpg/200px-Cafu.jpg,https://boxrec.com/wiki/index.php?title=Fight:3093253,super fly,5.0,13,73,80%,2018-2023,2018-05-26,,,839957,,male,Truth,19,South Africa,southpaw,5′ 6″   /   168cm,64″   /   163cm,"Duncan Village, Eastern Cape, South Africa","Duncan Village, Eastern Cape, South Africa",10,0,3
Ismael Barroso,https://boxrec.com/images/thumb/4/42/326019.jpg/200px-326019.jpg,https://boxrec.com/wiki/index.php?title=Fight:3087893,super light,5.0,31,126,92%,2005-2024,2005-08-13,,,326019,Ismael Jose Barroso Bernay,male,,41,Venezuela,southpaw,5′ 8½″   /   174cm,69″   /   175cm,"Miami, Florida, USA","El Tigre, Venezuela",25,4,2
TJ Doheny,https://boxrec.com/images/thumb/8/81/611407a.jpeg/200px-611407a.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3024092,super bantam,5.0,29,174,76%,2012-2023,2012-04-27,,,611407,Terence John Doheny,male,'The Power',37,Ireland,southpaw,5′ 5½″   /   166cm,68″   /   173cm,"Bondi Junction, New South Wales, Australia","Portlaois, Ireland",25,4,0
Richard Commey,https://boxrec.com/images/thumb/c/c6/563751.jpeg/200px-563751.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2931518,super light,5.0,36,212,90%,2011-2023,2011-02-26,,,563751,Richard Oblitey Commey,male,RC,36,Ghana,orthodox,5′ 8″   /   173cm,71″   /   180cm,"The Bronx, New York, USA","Accra, Ghana",30,5,1
Liam Paro,https://boxrec.com/images/thumb/9/90/749212a.jpeg/200px-749212a.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3056972,super light,5.0,24,123,62.5%,2016-2023,2016-03-05,,WBO Global Super Light,749212,Liam Robert Paro,male,,27,Australia,southpaw,5′ 8½″   /   174cm,71″   /   180cm,"Brisbane, Queensland, Australia","Mackay, Queensland, Australia",24,0,0
